                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.5603,                0.81928,                0.87838,                 0.8841,                0.84754,                 0.8884,                0.45564,                 1.6221,                0.78045,                0.92422,              0.0007162,              0.0007162,              0.0007162
                     89,                 1.5713,                0.83732,                0.87773,                0.92368,                0.81944,                0.88981,                0.45091,                 1.6337,                 0.8069,                0.92336,              0.0007129,              0.0007129,              0.0007129
                     90,                 1.5191,                0.80691,                0.88188,                0.92303,                0.82027,                0.87715,                0.43798,                 1.6296,                0.81194,                0.92511,              0.0007096,              0.0007096,              0.0007096
                     91,                 1.4713,                0.78894,                0.87116,                0.94258,                0.80491,                0.89257,                0.45559,                 1.6294,                0.79797,                0.91988,              0.0007063,              0.0007063,              0.0007063
                     92,                 1.4935,                0.79677,                0.87796,                0.92163,                0.80646,                0.87625,                0.41414,                 1.7093,                0.80326,                0.93506,               0.000703,               0.000703,               0.000703
                     93,                   1.49,                0.78822,                0.86952,                0.87864,                0.82078,                0.84654,                0.40117,                 1.7444,                0.80209,                0.94302,              0.0006997,              0.0006997,              0.0006997
                     94,                 1.4739,                0.79666,                0.86707,                0.90727,                0.79198,                0.84301,                0.38875,                 1.8101,                0.83023,                0.96013,              0.0006964,              0.0006964,              0.0006964
                     95,                 1.4669,                0.77515,                 0.8623,                0.88052,                0.74251,                0.80254,                0.35985,                 1.8763,                0.92824,                0.97811,              0.0006931,              0.0006931,              0.0006931
                     96,                 1.4735,                0.78522,                0.87276,                0.86062,                0.79782,                0.83909,                0.39696,                 1.7886,                0.86229,                0.95705,              0.0006898,              0.0006898,              0.0006898
                     97,                 1.5053,                0.79113,                0.87643,                 0.9392,                0.81315,                0.86988,                0.42688,                 1.6964,                0.81675,                  0.941,              0.0006865,              0.0006865,              0.0006865
                     98,                 1.4823,                0.80034,                0.87034,                0.89415,                0.81816,                0.85818,                 0.4357,                 1.6611,                0.80037,                0.93314,              0.0006832,              0.0006832,              0.0006832
                     99,                 1.5034,                0.82106,                 0.8684,                0.92531,                0.78731,                 0.8914,                0.43693,                 1.6586,                0.79011,                   0.93,              0.0006799,              0.0006799,              0.0006799
                    100,                 1.4859,                0.78524,                 0.8752,                0.92441,                0.81503,                0.88493,                0.44709,                 1.6771,                0.77952,                0.93823,              0.0006766,              0.0006766,              0.0006766
                    101,                 1.4612,                0.76716,                 0.8657,                 0.9146,                0.80546,                0.85793,                0.44191,                  1.653,                0.83368,                0.92553,              0.0006733,              0.0006733,              0.0006733
                    102,                 1.4621,                0.78179,                0.86137,                0.91889,                0.82027,                  0.877,                0.44549,                 1.6253,                0.78516,                0.92455,                0.00067,                0.00067,                0.00067
                    103,                 1.4728,                0.76855,                0.87906,                0.89757,                0.82232,                0.87415,                0.44626,                 1.6294,                0.80408,                0.92527,              0.0006667,              0.0006667,              0.0006667
                    104,                 1.4786,                0.77733,                0.87264,                0.93623,                0.81807,                0.87802,                0.44847,                 1.6429,                0.81491,                0.92449,              0.0006634,              0.0006634,              0.0006634
                    105,                  1.478,                 0.7897,                0.87444,                0.92257,                0.84259,                0.88842,                0.46454,                 1.6172,                0.76838,                  0.926,              0.0006601,              0.0006601,              0.0006601
                    106,                 1.4786,                0.77844,                0.86789,                0.93952,                0.82495,                0.89481,                0.46918,                 1.6601,                0.76305,                0.93274,              0.0006568,              0.0006568,              0.0006568
                    107,                 1.4756,                0.77293,                0.86788,                0.93091,                 0.8544,                0.90277,                0.45273,                 1.6451,                0.77693,                0.92852,              0.0006535,              0.0006535,              0.0006535
                    108,                 1.4456,                0.75804,                0.87161,                 0.9114,                0.85161,                0.89623,                0.45919,                 1.6618,                0.78099,                0.93162,              0.0006502,              0.0006502,              0.0006502
                    109,                 1.4393,                0.75935,                0.86431,                0.93155,                0.84431,                0.89408,                0.44515,                 1.6501,                0.79223,                0.93345,              0.0006469,              0.0006469,              0.0006469
                    110,                 1.4686,                0.76716,                 0.8711,                0.93682,                0.84533,                 0.8983,                0.46947,                 1.6266,                0.77457,                 0.9303,              0.0006436,              0.0006436,              0.0006436
                    111,                 1.4373,                0.74797,                0.86641,                 0.9457,                0.84757,                0.90962,                0.46063,                 1.6537,                0.76787,                0.92959,              0.0006403,              0.0006403,              0.0006403
                    112,                 1.4821,                0.76972,                0.86979,                0.91444,                0.82134,                0.88053,                0.43073,                 1.6958,                0.78353,                 0.9429,               0.000637,               0.000637,               0.000637
                    113,                 1.4499,                0.75622,                0.86333,                  0.928,                0.82546,                0.89674,                0.46095,                 1.6588,                0.77119,                0.92747,              0.0006337,              0.0006337,              0.0006337
